B Pan,CD79A,CD79B,TCL1A,IGHM,IGHD,IGHA1,IGHA2,IGHG1,IGHG3,IGLC3,IGKC,VPREB3,IGHM_membrane,IGHD_membrane,IGHM_secreted,IGHD_secreted,IGHA1_membrane,IGHA2_membrane,IGHG1_membrane,IGHG3_membrane,IGHA1_secreted,IGHA2_secreted,IGHG1_secreted,IGHG3_secreted
B Memory,IGHA1,IGHA2,IGHG1,IGHG3,IGHA1_membrane,IGHA2_membrane,IGHG1_membrane,IGHG3_membrane,,,,,,,,,,,,,,,,
B Naive,IGHM,IGHD,IGHM_membrane,IGHD_membrane,TCL1A,,,,,,,,,,,,,,,,,,,
Monocyte Classical,CLEC4E,S100A12,CD14,QPCT,CD36,,,,,,,,,,,,,,,,,,,
Monocyte Non-classical,FCGR3A,LYN,PIK3AP1,ADA,,,,,,,,,,,,,,,,,,,,
NKT,KLRB1,SLAMF1,SLAMF6,TGFBR1,ZBTB16,IL4,IFNG,IL17A,SH2D1A,TRAC,,,,,,,,,,,,,,
Natural Killer,GZMA,NKG7,GNLY,CCL5,PRF1,FCGR3A,,,,,,,,,,,,,,,,,,
T Central Memory,CCR8,CCR7,SELL,CD44,IL7R,IL15RA,BCL6,BCL6B,MBD2,BMI1,IL2,CD40LG,IL4,IFNG,IL17A,,,,,,,,,
T Cytotoxic,CD8A,CD8B,GZMK,GZMB,GZMH,GZMA,GNLY,DUSP2,EOMES,TBX21,PRMD1,PRF1,IFNG,,,,,,,,,,,
T Effector Memory,SELL,CD44,IL7R,IL15RA,CCR9,PRMD1,,,,,,,,,,,,,,,,,,
T Exhausted,PDCD1,HAVCR2,LAG3,PRMD1,,,,,,,,,,,,,,,,,,,,
T Gamma Delta,TARP,TRDC,CCR6,,,,,,,,,,,,,,,,,,,,,
T Naive,SELL,CCR7,CD4,IL7R,SPOCK2,ZBTB7B,,,,,,,,,,,,,,,,,,
T Regulatory,IL2RA,CTLA4,TNFRSF18,FOXP3,STAT5,FOXO1,IL10,TGFB1,EBI3,SMAD2,SMAD3,SMAD4,S100A10,LGALS1,LGALS3,,,,,,,,,
T Trafficking,CCR2,CCR4,CCR10,CCR5,CXCR3,SELE,SELP,,,,,,,,,,,,,,,,,
T Pan,CD3D,CD3E,CD8A,CD8B,CD4,TRAC,TRBC1,TRBC2,,,,,,,,,,,,,,,,
Cell Cycle M,AURKA,AURKB,TPX2,UBE2C,HMMR,TOP2A,HMGB2,CCNB1,NUSAP1,NUF2,CDC6,HIST1H4C,BIRC5,CKS2,,,,,,,,,,
Cell Cycle S,MCM5,PCNA,TYMS,MCM2,MCM4,GINS2,UNG,RRM1,MCM6,CDCA7,PRIM1,DTL,KIAA0101,TK1,,,,,,,,,,
Granulocyte,MPO,CPA3,AZU1,BPI,DEFA3,DEFA4,MMP9,PI3,TPSAB1,,,,,,,,,,,,,,,
M2,MRC1,CD163,CD200R1,IL10,TGFB1,STAT6,IRF4,,,,,,,,,,,,,,,,,
M1,CD86,CD80,MHCII,IL12,IL23,TNF,IL1B,STAT1,IRF5,,,,,,,,,,,,,,,